home,vis,home_score,vis_score,quarter,time,home_mline,vis_mline
PHO,UTA,108,116,4,1:20,1100,-2800
IND,BOS,50,46,2,4:10,150,-185
IND,BOS,53,46,2,3:31,120,-150
IND,BOS,56,46,2,3:08,100,-130
PHO,UTA,108,116,4,1:19,1100,-2800
PHO,UTA,111,116,4,0:36,1100,-2800
PHO,UTA,111,117,4,0:36,1100,-2800
IND,BOS,56,46,2,2:59,100,-130
IND,BOS,59,50,2,2:25,-105,-125
IND,BOS,59,50,2,1:46,-110,-120
PHO,UTA,114,117,4,0:29,1100,-2800
IND,BOS,61,50,2,1:38,-120,-110
PHO,UTA,114,117,4,0:01,1100,-2800
IND,BOS,63,53,2,1:00,-110,-120
IND,BOS,66,55,2,0:35,-130,100
IND,BOS,66,55,2,0:18,-130,100
IND,BOS,66,55,3,12:00,-130,100
PHO,UTA,114,118,4,0:01,1100,-2800
IND,BOS,66,55,3,11:58,-130,100
IND,BOS,69,55,3,11:33,-155,125
IND,BOS,71,56,3,11:12,-185,150
IND,BOS,73,56,3,10:46,-220,170
IND,BOS,73,56,3,10:46,-385,270
IND,BOS,73,56,3,10:50,-385,270
IND,BOS,73,56,3,10:26,-400,280
IND,BOS,73,56,3,10:00,-550,360
IND,BOS,73,58,3,9:51,-255,190
IND,BOS,75,59,3,9:23,-400,280
IND,BOS,78,61,3,8:52,-575,375
IND,BOS,78,61,3,8:30,-420,290
IND,BOS,78,61,3,8:30,-450,310
IND,BOS,78,63,3,8:28,-400,280
IND,BOS,78,65,3,8:06,-290,215
IND,BOS,78,65,3,8:06,-350,250
IND,BOS,78,65,3,8:06,-255,190
IND,BOS,78,65,3,8:05,-255,190
IND,BOS,78,65,3,7:21,-265,200
IND,BOS,78,65,3,6:59,-210,165
IND,BOS,78,67,3,6:45,-155,125
IND,BOS,79,67,3,6:34,-165,135
IND,BOS,80,67,3,6:28,-175,145
IND,BOS,80,70,3,5:44,-115,-115
IND,BOS,82,70,3,5:16,-220,170
IND,BOS,82,70,3,5:09,-175,145
IND,BOS,82,72,3,4:40,-160,130
IND,BOS,82,72,3,4:40,-150,120
IND,BOS,83,72,3,4:40,-150,120
IND,BOS,83,72,3,4:32,-130,100
IND,BOS,83,74,3,4:16,-145,115
IND,BOS,83,74,3,3:59,-115,-115
IND,BOS,83,74,3,3:49,-120,-110
