team,ranking,date
LAL,-0.6634239540201767,2020-12-23
GSW,-0.5468652835274296,2020-12-23
BKN,0.5468649009275577,2020-12-23
LAC,0.6634234344976754,2020-12-23
LAL,-0.6634239540201767,2020-12-25
TOR,-0.6634239540201767,2020-12-25
CHI,-0.6634239540201767,2020-12-25
MEM,-0.6634239540201767,2020-12-25
DEN,-0.6634239540201767,2020-12-25
POR,-0.6634239540201767,2020-12-25
GSW,-0.5468652835274296,2020-12-25
MIL,-0.5468652835274296,2020-12-25
DAL,-0.5468652835274296,2020-12-25
CHA,-0.5468652835274296,2020-12-25
NYK,-0.5468652835274296,2020-12-25
MIA,-0.5468652835274296,2020-12-25
WAS,-0.5468652835274296,2020-12-25
DET,-0.5468652835274296,2020-12-25
BKN,0.5468649009275577,2020-12-25
BOS,0.5468649009275577,2020-12-25
PHX,0.5468649009275577,2020-12-25
CLE,0.5468649009275577,2020-12-25
IND,0.5468649009275577,2020-12-25
ORL,0.5468649009275577,2020-12-25
PHI,0.5468649009275577,2020-12-25
MIN,0.5468649009275577,2020-12-25
LAC,0.6634234344976754,2020-12-25
NOP,0.6634234344976754,2020-12-25
ATL,0.6634234344976754,2020-12-25
SAS,0.6634234344976754,2020-12-25
SAC,0.6634234344976754,2020-12-25
UTA,0.6634234344976754,2020-12-25
DEN,-1.0044835071004612,2020-12-26
DAL,-0.9961778258995979,2020-12-26
GSW,-0.9597688781123215,2020-12-26
TOR,-0.7113057640684254,2020-12-26
CHI,-0.6634239540201767,2020-12-26
MEM,-0.6634239540201767,2020-12-26
POR,-0.6634239540201767,2020-12-26
CHA,-0.5468652835274296,2020-12-26
NYK,-0.5468652835274296,2020-12-26
WAS,-0.5468652835274296,2020-12-26
DET,-0.5468652835274296,2020-12-26
LAL,-0.1474610322308345,2020-12-26
MIL,-0.10402133041473004,2020-12-26
BOS,-0.005926662360395838,2020-12-26
NOP,0.008528837796095985,2020-12-26
MIA,0.11409137986094106,2020-12-26
PHX,0.5173929169445278,2020-12-26
CLE,0.5468649009275577,2020-12-26
IND,0.5468649009275577,2020-12-26
PHI,0.5468649009275577,2020-12-26
MIN,0.5468649009275577,2020-12-26
ORL,0.5910200388236243,2020-12-26
SAC,0.6362635938028464,2020-12-26
ATL,0.6634234344976754,2020-12-26
SAS,0.6634234344976754,2020-12-26
UTA,0.6634234344976754,2020-12-26
LAC,1.0355713761479923,2020-12-26
BKN,1.0675716925491971,2020-12-26
DAL,-1.018666325266356,2020-12-27
CHI,-1.0017975065593963,2020-12-27
MEM,-0.9923470947701861,2020-12-27
DEN,-0.9815538120590768,2020-12-27
CHA,-0.9726601743376223,2020-12-27
TOR,-0.9648145033961423,2020-12-27
GSW,-0.9597688781123215,2020-12-27
NYK,-0.9123248873318174,2020-12-27
WAS,-0.9067859244704788,2020-12-27
DET,-0.9057952902651166,2020-12-27
HOU,-0.6806723313791847,2020-12-27
LAL,-0.14984001367926053,2020-12-27
POR,-0.14980486076156388,2020-12-27
MIL,-0.10402133041473004,2020-12-27
NOP,-0.005963758866914332,2020-12-27
BOS,-0.005926662360395838,2020-12-27
PHX,0.05557637685762515,2020-12-27
UTA,0.10326652976344651,2020-12-27
MIA,0.13635145752316477,2020-12-27
OKC,0.5896287285249358,2020-12-27
IND,0.896800245988276,2020-12-27
SAS,0.8999952978899183,2020-12-27
CLE,0.9099351039919301,2020-12-27
PHI,0.9116815789744992,2020-12-27
ORL,0.9642499744662211,2020-12-27
ATL,0.9863319255860504,2020-12-27
LAC,1.0374925177580618,2020-12-27
SAC,1.0466422077222415,2020-12-27
BKN,1.0675716925491971,2020-12-27
